group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | M,4273,429,3128,592,124,0.7757685352622061,0.15913978494623657,0.22423146473779385,0.23894219517903112
Black | M,2864,336,1981,448,99,0.7724137931034483,0.1844380403458213,0.22758620689655173,0.2737430167597765
White | F,1228,119,902,156,51,0.7,0.14744801512287334,0.3,0.22394136807817588
Unknown or Legacy | M,936,60,723,120,33,0.6451612903225806,0.1423487544483986,0.3548387096774194,0.19230769230769232
East/Southeast Asian | M,695,34,585,52,24,0.5862068965517241,0.08163265306122448,0.41379310344827586,0.1237410071942446
South Asian | M,610,28,519,47,16,0.6363636363636364,0.08303886925795052,0.36363636363636365,0.12295081967213115
Black | F,600,32,477,69,22,0.5925925925925926,0.12637362637362637,0.4074074074074074,0.16833333333333333
Middle-Eastern | M,552,21,472,38,21,0.5,0.07450980392156863,0.5,0.1068840579710145
Latino | M,290,7,245,24,14,0.3333333333333333,0.08921933085501858,0.6666666666666666,0.10689655172413794
Indigenous | M,257,36,187,27,7,0.8372093023255814,0.1261682242990654,0.16279069767441862,0.245136186770428
Unknown or Legacy | F,199,12,172,12,3,0.8,0.06521739130434782,0.2,0.12060301507537688
East/Southeast Asian | F,144,2,136,2,4,0.3333333333333333,0.014492753623188406,0.6666666666666666,0.027777777777777776
Indigenous | F,135,8,116,6,5,0.6153846153846154,0.04918032786885246,0.38461538461538464,0.1037037037037037
South Asian | F,102,4,96,1,1,0.8,0.010309278350515464,0.2,0.049019607843137254
Middle-Eastern | F,71,2,62,4,3,0.4,0.06060606060606061,0.6,0.08450704225352113
Latino | F,60,2,57,0,1,0.6666666666666666,0.0,0.3333333333333333,0.03333333333333333
