group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White | M,4273,211,3624,96,342,0.38155515370705245,0.025806451612903226,0.6184448462929476,0.07184647788439036
Black | M,2864,180,2341,88,255,0.41379310344827586,0.036228900782214905,0.5862068965517241,0.0935754189944134
White | F,1228,55,1022,36,115,0.3235294117647059,0.034026465028355386,0.6764705882352942,0.0741042345276873
Unknown or Legacy | M,936,22,828,15,71,0.23655913978494625,0.017793594306049824,0.7634408602150538,0.03952991452991453
East/Southeast Asian | M,695,11,628,9,47,0.1896551724137931,0.0141287284144427,0.8103448275862069,0.02877697841726619
South Asian | M,610,9,558,8,35,0.20454545454545456,0.014134275618374558,0.7954545454545454,0.027868852459016394
Black | F,600,10,532,14,44,0.18518518518518517,0.02564102564102564,0.8148148148148148,0.04
Middle-Eastern | M,552,9,502,8,33,0.21428571428571427,0.01568627450980392,0.7857142857142857,0.030797101449275364
Latino | M,290,4,262,7,17,0.19047619047619047,0.026022304832713755,0.8095238095238095,0.03793103448275862
Indigenous | M,257,20,210,4,23,0.46511627906976744,0.018691588785046728,0.5348837209302325,0.0933852140077821
Unknown or Legacy | F,199,11,182,2,4,0.7333333333333333,0.010869565217391304,0.26666666666666666,0.06532663316582915
East/Southeast Asian | F,144,1,137,1,5,0.16666666666666666,0.007246376811594203,0.8333333333333334,0.013888888888888888
Indigenous | F,135,2,120,2,11,0.15384615384615385,0.01639344262295082,0.8461538461538461,0.02962962962962963
South Asian | F,102,2,97,0,3,0.4,0.0,0.6,0.0196078431372549
Middle-Eastern | F,71,2,66,0,3,0.4,0.0,0.6,0.028169014084507043
Latino | F,60,2,57,0,1,0.6666666666666666,0.0,0.3333333333333333,0.03333333333333333
